,,good,total,accuracy
887,0.95,8,11,0.7272727272727273
1081,0.95,3,7,0.42857142857142855
856,0.95,2,6,0.3333333333333333
1209,0.95,6,6,1.0
593,0.95,0,4,0.0
298,0.95,4,4,1.0
172,0.95,6,9,0.6666666666666666
1100,0.95,7,9,0.7777777777777778
119,0.95,5,6,0.8333333333333334
612,0.95,10,14,0.7142857142857143
1071,0.95,5,8,0.625
1319,0.95,2,4,0.5
323,0.95,3,6,0.5
151,0.95,4,9,0.4444444444444444
1206,0.95,10,15,0.6666666666666666
876,0.95,5,9,0.5555555555555556
134,0.95,6,11,0.5454545454545454
502,0.95,4,8,0.5
105,0.95,6,11,0.5454545454545454
280,0.95,0,3,0.0
895,0.95,8,10,0.8
1045,0.95,6,11,0.5454545454545454
83,0.95,6,9,0.6666666666666666
1154,0.95,4,5,0.8
370,0.95,7,7,1.0
933,0.95,7,8,0.875
286,0.95,4,9,0.4444444444444444
45,0.95,2,8,0.25
1344,0.95,3,5,0.6
53,0.95,11,15,0.7333333333333333
958,0.95,1,10,0.1
850,0.95,2,6,0.3333333333333333
620,0.95,1,5,0.2
806,0.95,3,10,0.3
591,0.95,7,13,0.5384615384615384
433,0.95,5,5,1.0
574,0.95,3,6,0.5
628,0.95,1,5,0.2
902,0.95,2,9,0.2222222222222222
484,0.95,3,8,0.375
1275,0.95,3,10,0.3
981,0.95,1,7,0.14285714285714285
976,0.95,8,11,0.7272727272727273
1247,0.95,6,7,0.8571428571428571
131,0.95,5,8,0.625
1342,0.95,3,6,0.5
1130,0.95,14,15,0.9333333333333333
326,0.95,9,12,0.75
529,0.95,11,13,0.8461538461538461
1226,0.95,8,12,0.6666666666666666
662,0.95,6,9,0.6666666666666666
250,0.95,3,5,0.6
267,0.95,2,13,0.15384615384615385
1279,0.95,0,5,0.0
157,0.95,1,6,0.16666666666666666
1207,0.95,4,9,0.4444444444444444
1366,0.95,7,9,0.7777777777777778
443,0.95,0,3,0.0
158,0.95,4,4,1.0
1190,0.95,7,8,0.875
270,0.95,4,11,0.36363636363636365
25,0.95,0,5,0.0
1175,0.95,11,11,1.0
1273,0.95,6,9,0.6666666666666666
419,0.95,7,9,0.7777777777777778
1184,0.95,6,10,0.6
346,0.95,3,8,0.375
496,0.95,8,10,0.8
1178,0.95,2,8,0.25
510,0.95,3,5,0.6
965,0.95,5,11,0.45454545454545453
367,0.95,1,7,0.14285714285714285
234,0.95,9,9,1.0
129,0.95,4,10,0.4
1303,0.95,5,6,0.8333333333333334
94,0.95,10,15,0.6666666666666666
1243,0.95,8,12,0.6666666666666666
974,0.95,6,12,0.5
963,0.95,9,13,0.6923076923076923
508,0.95,7,9,0.7777777777777778
2,0.95,2,6,0.3333333333333333
1349,0.95,8,11,0.7272727272727273
51,0.95,5,8,0.625
1211,0.95,0,3,0.0
212,0.95,6,9,0.6666666666666666
403,0.95,10,14,0.7142857142857143
567,0.95,9,9,1.0
308,0.95,10,15,0.6666666666666666
926,0.95,7,8,0.875
41,0.95,4,9,0.4444444444444444
120,0.95,11,13,0.8461538461538461
1136,0.95,1,2,0.5
952,0.95,0,8,0.0
66,0.95,0,4,0.0
357,0.95,3,6,0.5
659,0.95,4,8,0.5
284,0.95,7,12,0.5833333333333334
276,0.95,2,6,0.3333333333333333
1343,0.95,1,4,0.25
345,0.95,8,9,0.8888888888888888
186,0.95,12,15,0.8
646,0.95,3,6,0.5
230,0.95,9,10,0.9
718,0.95,2,6,0.3333333333333333
582,0.95,5,7,0.7142857142857143
624,0.95,3,6,0.5
1223,0.95,3,6,0.5
812,0.95,1,3,0.3333333333333333
1072,0.95,9,9,1.0
897,0.95,9,14,0.6428571428571429
813,0.95,4,9,0.4444444444444444
525,0.95,6,10,0.6
130,0.95,12,14,0.8571428571428571
125,0.95,2,2,1.0
1164,0.95,9,12,0.75
1168,0.95,1,4,0.25
938,0.95,3,3,1.0
592,0.95,2,5,0.4
69,0.95,3,5,0.6
709,0.95,0,1,0.0
1017,0.95,9,9,1.0
362,0.95,11,14,0.7857142857142857
605,0.95,8,8,1.0
1255,0.95,4,10,0.4
371,0.95,5,6,0.8333333333333334
797,0.95,3,7,0.42857142857142855
899,0.95,10,12,0.8333333333333334
630,0.95,6,9,0.6666666666666666
1198,0.95,3,6,0.5
315,0.95,6,11,0.5454545454545454
162,0.95,0,5,0.0
1123,0.95,11,14,0.7857142857142857
380,0.95,10,13,0.7692307692307693
331,0.95,4,8,0.5
1291,0.95,4,7,0.5714285714285714
164,0.95,8,14,0.5714285714285714
738,0.95,3,7,0.42857142857142855
618,0.95,1,4,0.25
986,0.95,0,7,0.0
240,0.95,0,5,0.0
1111,0.95,3,11,0.2727272727272727
622,0.95,0,6,0.0
60,0.95,0,6,0.0
837,0.95,4,6,0.6666666666666666
633,0.95,1,4,0.25
561,0.95,6,7,0.8571428571428571
143,0.95,0,3,0.0
1237,0.95,5,10,0.5
202,0.95,5,8,0.625
1180,0.95,2,10,0.2
141,0.95,3,7,0.42857142857142855
1280,0.95,8,8,1.0
1143,0.95,7,7,1.0
126,0.95,11,14,0.7857142857142857
654,0.95,11,11,1.0
1329,0.95,13,14,0.9285714285714286
476,0.95,11,14,0.7857142857142857
1027,0.95,3,7,0.42857142857142855
705,0.95,2,3,0.6666666666666666
1310,0.95,4,6,0.6666666666666666
470,0.95,1,11,0.09090909090909091
91,0.95,3,5,0.6
1350,0.95,10,13,0.7692307692307693
842,0.95,8,11,0.7272727272727273
1199,0.95,5,7,0.7142857142857143
494,0.95,4,4,1.0
209,0.95,3,5,0.6
1376,0.95,3,6,0.5
1386,0.95,0,3,0.0
1240,0.95,2,9,0.2222222222222222
626,0.95,9,12,0.75
888,0.95,6,7,0.8571428571428571
1026,0.95,9,11,0.8181818181818182
586,0.95,9,11,0.8181818181818182
1103,0.95,11,14,0.7857142857142857
139,0.95,2,9,0.2222222222222222
375,0.95,4,6,0.6666666666666666
671,0.95,8,10,0.8
1320,0.95,1,3,0.3333333333333333
287,0.95,2,11,0.18181818181818182
165,0.95,11,11,1.0
394,0.95,12,12,1.0
790,0.95,1,10,0.1
862,0.95,9,12,0.75
223,0.95,6,9,0.6666666666666666
1318,0.95,10,10,1.0
975,0.95,6,8,0.75
1221,0.95,0,4,0.0
1101,0.95,0,4,0.0
754,0.95,12,16,0.75
947,0.95,0,3,0.0
450,0.95,0,5,0.0
152,0.95,3,9,0.3333333333333333
62,0.95,5,8,0.625
864,0.95,4,9,0.4444444444444444
922,0.95,7,12,0.5833333333333334
544,0.95,5,11,0.45454545454545453
343,0.95,6,8,0.75
1159,0.95,7,8,0.875
532,0.95,13,14,0.9285714285714286
527,0.95,11,16,0.6875
748,0.95,5,11,0.45454545454545453
103,0.95,8,9,0.8888888888888888
1044,0.95,8,12,0.6666666666666666
905,0.95,0,3,0.0
356,0.95,4,5,0.8
719,0.95,6,7,0.8571428571428571
27,0.95,4,6,0.6666666666666666
1383,0.95,6,11,0.5454545454545454
387,0.95,3,8,0.375
181,0.95,4,6,0.6666666666666666
568,0.95,5,8,0.625
1252,0.95,1,6,0.16666666666666666
747,0.95,8,10,0.8
1244,0.95,5,8,0.625
1215,0.95,11,18,0.6111111111111112
518,0.95,14,14,1.0
1373,0.95,8,10,0.8
1173,0.95,6,11,0.5454545454545454
109,0.95,9,9,1.0
455,0.95,5,11,0.45454545454545453
511,0.95,0,5,0.0
996,0.95,7,8,0.875
390,0.95,3,3,1.0
252,0.95,3,6,0.5
58,0.95,8,9,0.8888888888888888
543,0.95,7,7,1.0
1258,0.95,4,5,0.8
1276,0.95,3,9,0.3333333333333333
18,0.95,4,5,0.8
742,0.95,9,13,0.6923076923076923
138,0.95,6,6,1.0
506,0.95,2,4,0.5
400,0.95,0,3,0.0
515,0.95,1,2,0.5
1193,0.95,4,8,0.5
1387,0.95,4,8,0.5
759,0.95,4,5,0.8
997,0.95,2,4,0.5
999,0.95,8,9,0.8888888888888888
836,0.95,10,11,0.9090909090909091
1040,0.95,1,5,0.2
598,0.95,8,12,0.6666666666666666
461,0.95,2,3,0.6666666666666666
822,0.95,7,8,0.875
1212,0.95,2,4,0.5
127,0.95,6,13,0.46153846153846156
1012,0.95,9,9,1.0
1001,0.95,9,14,0.6428571428571429
1082,0.95,4,8,0.5
1043,0.95,1,5,0.2
1052,0.95,6,8,0.75
282,0.95,2,5,0.4
867,0.95,4,9,0.4444444444444444
665,0.95,3,7,0.42857142857142855
625,0.95,7,7,1.0
1032,0.95,4,11,0.36363636363636365
260,0.95,8,9,0.8888888888888888
486,0.95,6,10,0.6
954,0.95,1,9,0.1111111111111111
1007,0.95,3,5,0.6
347,0.95,0,1,0.0
589,0.95,5,8,0.625
1245,0.95,11,18,0.6111111111111112
373,0.95,4,6,0.6666666666666666
408,0.95,3,4,0.75
1345,0.95,1,6,0.16666666666666666
366,0.95,6,10,0.6
970,0.95,0,3,0.0
409,0.95,2,3,0.6666666666666666
1047,0.95,6,9,0.6666666666666666
258,0.95,0,3,0.0
755,0.95,3,6,0.5
456,0.95,7,11,0.6363636363636364
309,0.95,1,4,0.25
67,0.95,9,12,0.75
1306,0.95,6,9,0.6666666666666666
1146,0.95,2,7,0.2857142857142857
509,0.95,7,12,0.5833333333333334
799,0.95,3,4,0.75
1380,0.95,2,10,0.2
960,0.95,6,8,0.75
804,0.95,13,15,0.8666666666666667
1418,0.95,6,8,0.75
660,0.95,6,9,0.6666666666666666
22,0.95,5,11,0.45454545454545453
299,0.95,4,4,1.0
374,0.95,4,5,0.8
1339,0.95,8,13,0.6153846153846154
113,0.95,9,9,1.0
432,0.95,6,8,0.75
1144,0.95,7,9,0.7777777777777778
194,0.95,9,10,0.9
332,0.95,3,9,0.3333333333333333
320,0.95,5,7,0.7142857142857143
669,0.95,3,4,0.75
1392,0.95,3,8,0.375
104,0.95,5,6,0.8333333333333334
319,0.95,5,7,0.7142857142857143
65,0.95,7,11,0.6363636363636364
318,0.95,0,6,0.0
870,0.95,5,12,0.4166666666666667
386,0.95,4,8,0.5
656,0.95,2,9,0.2222222222222222
521,0.95,2,3,0.6666666666666666
903,0.95,3,7,0.42857142857142855
412,0.95,1,8,0.125
210,0.95,3,4,0.75
613,0.95,2,3,0.6666666666666666
941,0.95,2,8,0.25
610,0.95,4,6,0.6666666666666666
360,0.95,7,8,0.875
1225,0.95,4,4,1.0
569,0.95,5,10,0.5
377,0.95,1,5,0.2
93,0.95,6,10,0.6
1302,0.95,5,5,1.0
196,0.95,5,10,0.5
555,0.95,2,3,0.6666666666666666
603,0.95,3,10,0.3
550,0.95,6,8,0.75
1333,0.95,6,8,0.75
599,0.95,5,6,0.8333333333333334
73,0.95,0,5,0.0
839,0.95,10,11,0.9090909090909091
1269,0.95,5,11,0.45454545454545453
1141,0.95,3,3,1.0
503,0.95,7,7,1.0
1033,0.95,5,8,0.625
220,0.95,10,10,1.0
991,0.95,1,7,0.14285714285714285
817,0.95,3,4,0.75
42,0.95,3,8,0.375
907,0.95,4,10,0.4
1266,0.95,3,6,0.5
505,0.95,6,11,0.5454545454545454
237,0.95,2,9,0.2222222222222222
1227,0.95,10,11,0.9090909090909091
168,0.95,5,9,0.5555555555555556
293,0.95,6,8,0.75
666,0.95,4,7,0.5714285714285714
398,0.95,2,9,0.2222222222222222
1108,0.95,6,7,0.8571428571428571
329,0.95,8,15,0.5333333333333333
520,0.95,8,9,0.8888888888888888
206,0.95,12,13,0.9230769230769231
682,0.95,9,12,0.75
77,0.95,2,4,0.5
264,0.95,3,3,1.0
744,0.95,5,6,0.8333333333333334
596,0.95,3,9,0.3333333333333333
1238,0.95,4,4,1.0
823,0.95,4,6,0.6666666666666666
1050,0.95,10,11,0.9090909090909091
334,0.95,7,13,0.5384615384615384
225,0.95,5,8,0.625
59,0.95,6,6,1.0
949,0.95,2,5,0.4
636,0.95,6,7,0.8571428571428571
483,0.95,3,6,0.5
912,0.95,3,4,0.75
281,0.95,7,10,0.7
57,0.95,6,11,0.5454545454545454
904,0.95,4,7,0.5714285714285714
1372,0.95,12,13,0.9230769230769231
439,0.95,1,8,0.125
423,0.95,0,4,0.0
452,0.95,4,6,0.6666666666666666
205,0.95,3,9,0.3333333333333333
8,0.95,1,3,0.3333333333333333
1331,0.95,1,5,0.2
1363,0.95,2,6,0.3333333333333333
869,0.95,3,7,0.42857142857142855
1016,0.95,4,5,0.8
1236,0.95,1,5,0.2
730,0.95,5,9,0.5555555555555556
1046,0.95,4,7,0.5714285714285714
1341,0.95,2,4,0.5
278,0.95,1,6,0.16666666666666666
706,0.95,2,7,0.2857142857142857
1089,0.95,4,9,0.4444444444444444
404,0.95,4,7,0.5714285714285714
1354,0.95,4,5,0.8
9,0.95,3,4,0.75
641,0.95,6,10,0.6
749,0.95,2,7,0.2857142857142857
578,0.95,3,7,0.42857142857142855
735,0.95,3,8,0.375
1321,0.95,11,11,1.0
1059,0.95,4,8,0.5
1037,0.95,3,6,0.5
1288,0.95,3,8,0.375
171,0.95,4,5,0.8
335,0.95,10,11,0.9090909090909091
647,0.95,6,7,0.8571428571428571
1132,0.95,2,5,0.4
159,0.95,1,8,0.125
843,0.95,1,5,0.2
607,0.95,4,9,0.4444444444444444
263,0.95,4,6,0.6666666666666666
255,0.95,11,12,0.9166666666666666
1073,0.95,4,9,0.4444444444444444
768,0.95,1,4,0.25
480,0.95,5,8,0.625
399,0.95,4,9,0.4444444444444444
827,0.95,3,5,0.6
894,0.95,6,9,0.6666666666666666
811,0.95,4,12,0.3333333333333333
785,0.95,6,6,1.0
440,0.95,7,8,0.875
434,0.95,9,13,0.6923076923076923
1338,0.95,4,5,0.8
980,0.95,0,1,0.0
779,0.95,2,7,0.2857142857142857
1385,0.95,6,10,0.6
726,0.95,3,9,0.3333333333333333
1166,0.95,1,2,0.5
674,0.95,7,7,1.0
193,0.95,2,4,0.5
