,,good,total,accuracy
940,0.95,4,7,0.5714285714285714
99,0.95,4,8,0.5
557,0.95,3,3,1.0
1060,0.95,5,9,0.5555555555555556
1404,0.95,0,4,0.0
650,0.95,1,7,0.14285714285714285
123,0.95,10,10,1.0
32,0.95,1,2,0.5
1348,0.95,1,4,0.25
493,0.95,6,8,0.75
283,0.95,0,3,0.0
1368,0.95,4,4,1.0
217,0.95,0,5,0.0
215,0.95,7,8,0.875
1304,0.95,0,3,0.0
851,0.95,2,4,0.5
1083,0.95,7,9,0.7777777777777778
1165,0.95,7,8,0.875
6,0.95,2,4,0.5
448,0.95,1,3,0.3333333333333333
916,0.95,8,9,0.8888888888888888
31,0.95,0,5,0.0
993,0.95,0,1,0.0
1107,0.95,1,3,0.3333333333333333
638,0.95,1,4,0.25
564,0.95,9,12,0.75
1197,0.95,1,2,0.5
75,0.95,6,7,0.8571428571428571
571,0.95,5,5,1.0
248,0.95,2,3,0.6666666666666666
1312,0.95,2,4,0.5
535,0.95,3,8,0.375
553,0.95,1,1,1.0
1403,0.95,5,8,0.625
820,0.95,1,2,0.5
1335,0.95,3,5,0.6
1246,0.95,0,3,0.0
1260,0.95,1,4,0.25
549,0.95,2,4,0.5
49,0.95,1,4,0.25
1382,0.95,1,5,0.2
184,0.95,5,7,0.7142857142857143
163,0.95,7,8,0.875
305,0.95,3,6,0.5
540,0.95,7,10,0.7
257,0.95,4,5,0.8
756,0.95,10,12,0.8333333333333334
1152,0.95,5,9,0.5555555555555556
883,0.95,1,3,0.3333333333333333
691,0.95,0,3,0.0
770,0.95,1,5,0.2
226,0.95,8,9,0.8888888888888888
984,0.95,4,6,0.6666666666666666
242,0.95,5,6,0.8333333333333334
383,0.95,1,4,0.25
187,0.95,0,1,0.0
1035,0.95,0,2,0.0
639,0.95,2,4,0.5
1042,0.95,1,2,0.5
431,0.95,5,6,0.8333333333333334
246,0.95,4,4,1.0
1058,0.95,3,4,0.75
608,0.95,0,3,0.0
1138,0.95,7,7,1.0
243,0.95,0,1,0.0
481,0.95,0,5,0.0
957,0.95,0,4,0.0
1137,0.95,4,6,0.6666666666666666
642,0.95,4,5,0.8
272,0.95,0,4,0.0
359,0.95,4,7,0.5714285714285714
964,0.95,8,8,1.0
44,0.95,0,3,0.0
322,0.95,1,3,0.3333333333333333
778,0.95,2,2,1.0
1399,0.95,1,1,1.0
1292,0.95,1,3,0.3333333333333333
1004,0.95,0,2,0.0
909,0.95,1,4,0.25
12,0.95,2,5,0.4
1010,0.95,0,2,0.0
670,0.95,3,6,0.5
875,0.95,5,6,0.8333333333333334
1294,0.95,2,5,0.4
900,0.95,1,1,1.0
634,0.95,3,6,0.5
1115,0.95,3,7,0.42857142857142855
1067,0.95,2,8,0.25
488,0.95,3,3,1.0
463,0.95,5,8,0.625
395,0.95,0,3,0.0
46,0.95,1,3,0.3333333333333333
1393,0.95,2,2,1.0
38,0.95,4,11,0.36363636363636365
1048,0.95,2,5,0.4
245,0.95,0,2,0.0
652,0.95,1,5,0.2
849,0.95,0,1,0.0
1066,0.95,0,2,0.0
892,0.95,0,5,0.0
1233,0.95,4,5,0.8
921,0.95,2,2,1.0
1191,0.95,5,7,0.7142857142857143
861,0.95,3,3,1.0
364,0.95,2,3,0.6666666666666666
648,0.95,2,3,0.6666666666666666
1253,0.95,0,5,0.0
124,0.95,2,4,0.5
845,0.95,4,7,0.5714285714285714
1250,0.95,1,4,0.25
1008,0.95,0,4,0.0
687,0.95,1,5,0.2
664,0.95,3,4,0.75
575,0.95,6,6,1.0
1378,0.95,4,5,0.8
495,0.95,0,5,0.0
982,0.95,1,2,0.5
1084,0.95,3,5,0.6
235,0.95,1,2,0.5
717,0.95,0,2,0.0
725,0.95,0,2,0.0
699,0.95,3,4,0.75
868,0.95,3,4,0.75
720,0.95,4,4,1.0
828,0.95,3,4,0.75
819,0.95,1,3,0.3333333333333333
191,0.95,4,5,0.8
524,0.95,2,3,0.6666666666666666
173,0.95,1,1,1.0
1359,0.95,2,2,1.0
565,0.95,2,4,0.5
102,0.95,0,8,0.0
1051,0.95,2,5,0.4
1065,0.95,1,2,0.5
1095,0.95,0,3,0.0
467,0.95,1,5,0.2
1068,0.95,10,11,0.9090909090909091
344,0.95,2,2,1.0
1172,0.95,1,1,1.0
968,0.95,0,3,0.0
430,0.95,0,4,0.0
1150,0.95,3,3,1.0
753,0.95,4,5,0.8
221,0.95,2,3,0.6666666666666666
228,0.95,3,3,1.0
111,0.95,0,3,0.0
640,0.95,1,1,1.0
17,0.95,1,5,0.2
1109,0.95,2,3,0.6666666666666666
551,0.95,1,3,0.3333333333333333
627,0.95,2,6,0.3333333333333333
710,0.95,1,2,0.5
606,0.95,0,3,0.0
577,0.95,2,3,0.6666666666666666
1186,0.95,2,2,1.0
107,0.95,5,5,1.0
935,0.95,2,5,0.4
932,0.95,1,2,0.5
1235,0.95,0,1,0.0
538,0.95,0,1,0.0
1323,0.95,0,2,0.0
829,0.95,1,3,0.3333333333333333
1336,0.95,0,1,0.0
763,0.95,0,7,0.0
1251,0.95,3,3,1.0
881,0.95,0,2,0.0
969,0.95,0,1,0.0
190,0.95,0,2,0.0
382,0.95,2,2,1.0
239,0.95,1,2,0.5
441,0.95,0,1,0.0
708,0.95,3,4,0.75
796,0.95,1,1,1.0
401,0.95,2,2,1.0
920,0.95,1,1,1.0
795,0.95,0,2,0.0
1098,0.95,1,3,0.3333333333333333
1087,0.95,0,2,0.0
1121,0.95,2,2,1.0
1284,0.95,0,1,0.0
655,0.95,1,2,0.5
224,0.95,1,1,1.0
